"Candidato","Partido","Ordem","Círculo","Efectivo/Suplente"
"Manuel José Cunha Almeida","CH- CHEGA",11,"Aveiro","Efectivo"
"Sónia dos Santos Quintaneiro","CH- CHEGA",12,"Aveiro","Efectivo"
"Renato Miguel Prata dos Santos","CH- CHEGA",13,"Aveiro","Efectivo"
"Vítor de Oliveira da Conceição","CH- CHEGA",14,"Aveiro","Efectivo"
"Sílvia Manuela Rodrigues Mariz","CH- CHEGA",15,"Aveiro","Efectivo"
"Delfina Alexandra Figueiredo da Silva","CH- CHEGA",16,"Aveiro","Efectivo"
"Marco Filipe Pinho Almeida","CH- CHEGA",17,"Aveiro","Suplente"
"Cheila da Costa Ferreira","CH- CHEGA",18,"Aveiro","Suplente"
"António Fausto Marques Pires","CH- CHEGA",19,"Aveiro","Suplente"
"Cristina Maria Rodrigues Fernandes","CH- CHEGA",20,"Aveiro","Suplente"
"Gisela Carla Prata dos Santos","CH- CHEGA",21,"Aveiro","Suplente"
"Bruno Graciano Berenguer Pestana","JPP- Juntos pelo Povo",1,"Aveiro","Efectivo"
"Alfredo de Freitas de Gouveia","JPP- Juntos pelo Povo",2,"Aveiro","Efectivo"
"Ana Nicole Aguiar de Abreu Pereira","JPP- Juntos pelo Povo",3,"Aveiro","Efectivo"
"Jéssica Diana Freitas","JPP- Juntos pelo Povo",4,"Aveiro","Efectivo"
"Arnaldo Rodrigues Hernandez","JPP- Juntos pelo Povo",5,"Aveiro","Efectivo"
"Bárbara José Brito Nóbrega","JPP- Juntos pelo Povo",6,"Aveiro","Efectivo"
"Maria Luísa Berenguer Pestana","JPP- Juntos pelo Povo",7,"Aveiro","Efectivo"
"Francisco Fernando de Quintal Noronha","JPP- Juntos pelo Povo",8,"Aveiro","Efectivo"
"Sónia Cristina Ferreira Rodrigues","JPP- Juntos pelo Povo",9,"Aveiro","Efectivo"
"Maria João Gouveia Luís Olim","JPP- Juntos pelo Povo",10,"Aveiro","Efectivo"
"Emanuel Escórcio Nunes","JPP- Juntos pelo Povo",11,"Aveiro","Efectivo"
